Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr,ssim,vmaf,
42,1.000001,1.000003,1.000000,1.000001,1.000001,3.737153,3.869729,0.999993,0.999993,0.999993,0.999993,60.000000,1.000000,100.000000,
43,1.000001,1.000004,1.000000,1.000001,1.000001,0.115039,3.737153,0.999993,0.999994,0.999993,0.999993,60.000000,1.000000,97.587677,
44,1.000001,1.000004,1.000000,1.000001,1.000001,0.115039,0.115039,0.999993,0.999994,0.999994,0.999993,60.000000,1.000000,97.587673,
45,1.000001,1.000004,1.000000,1.000001,1.000000,3.763665,3.763665,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
46,1.000001,1.000003,1.000000,1.000001,1.000001,0.265345,4.067601,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.796825,
47,1.000001,1.000003,1.000000,1.000001,1.000000,0.265345,0.265345,0.999994,0.999995,0.999994,0.999994,60.000000,1.000000,97.796819,
48,1.000001,1.000003,1.000000,1.000001,1.000001,4.040415,4.040415,0.999994,0.999995,0.999995,0.999994,60.000000,1.000000,100.000000,
49,1.000001,1.000003,1.000000,1.000001,1.000001,0.000445,4.349121,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,97.428205,
50,1.000001,1.000003,1.000000,1.000001,1.000001,0.000445,0.000445,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,97.428192,
51,1.000001,1.000003,1.000000,1.000001,1.000001,4.520676,4.520676,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
52,1.000001,1.000004,1.000000,1.000001,1.000001,0.016585,4.840907,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.450769,
53,1.000001,1.000004,1.000000,1.000001,1.000001,0.016585,0.016585,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.450758,
54,1.000001,1.000004,1.000000,1.000001,1.000001,4.237011,4.237011,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
